
### Methode : pt_milieu


#### test pour le monome de degré 0

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |     0.66666667 |     0.66666667 |              0
    2 |     0.66666667 |     0.66666667 |              0
    4 |     0.66666667 |     0.66666667 |              0
    8 |     0.66666667 |     0.66666667 |              0
   16 |     0.66666667 |     0.66666667 |              0
   32 |     0.66666667 |     0.66666667 |              0
   64 |     0.66666667 |     0.66666667 |              0
  128 |     0.66666667 |     0.66666667 |              0
  256 |     0.66666667 |     0.66666667 |              0
  512 |     0.66666667 |     0.66666667 |              0


#### test pour f(x) = absWith(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |       1.098696 |      1.0855457 |    0.013150357
    2 |       1.098696 |      1.1047198 |   0.0060237111
    4 |       1.098696 |      1.0951327 |   0.0035633229
    8 |       1.098696 |      1.0999262 |   0.0012301941
   16 |       1.098696 |      1.0975295 |   0.0011665644
   32 |       1.098696 |      1.0987279 |  3.1814867e-05
   64 |       1.098696 |      1.0987106 |  1.4530853e-05
  128 |       1.098696 |      1.0987019 |  5.8888455e-06
  256 |       1.098696 |      1.0986976 |   1.567842e-06
  512 |       1.098696 |      1.0986955 |  5.9265976e-07


#### test pour f(x) = abs(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |              1 |     0.66666667 |     0.33333333
    2 |              1 |              1 |              0
    4 |              1 |              1 |              0
    8 |              1 |              1 |              0
   16 |              1 |              1 |              0
   32 |              1 |              1 |              0
   64 |              1 |              1 |              0
  128 |              1 |              1 |              0
  256 |              1 |              1 |              0
  512 |              1 |              1 |              0


#### test pour f(x) = exp(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |      2.3504024 |      2.3620538 |    0.011651369
    2 |      2.3504024 |      2.3511948 |  0.00079244459
    4 |      2.3504024 |       2.350453 |  5.0629955e-05
    8 |      2.3504024 |      2.3504056 |   3.182017e-06
   16 |      2.3504024 |      2.3504026 |  1.9915346e-07
   32 |      2.3504024 |      2.3504024 |  1.2451432e-08
   64 |      2.3504024 |      2.3504024 |  7.7828233e-10
  128 |      2.3504024 |      2.3504024 |  4.8643756e-11
  256 |      2.3504024 |      2.3504024 |  3.0406788e-12
  512 |      2.3504024 |      2.3504024 |  1.9007018e-13


#### test pour f(x) = cos(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |       1.682942 |      1.6935349 |    0.010592901
    2 |       1.682942 |      1.6835442 |  0.00060221486
    4 |       1.682942 |      1.6829788 |  3.6795715e-05
    8 |       1.682942 |      1.6829443 |  2.2868891e-06
   16 |       1.682942 |      1.6829421 |  1.4273113e-07
   32 |       1.682942 |       1.682942 |   8.917584e-09
   64 |       1.682942 |       1.682942 |  5.5730043e-10
  128 |       1.682942 |       1.682942 |  3.4830583e-11
  256 |       1.682942 |       1.682942 |  2.1769253e-12
  512 |       1.682942 |       1.682942 |   1.358913e-13


#### test pour f(x) = arctan_der(x)

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |      1.5707963 |      1.6666667 |     0.09587034
    2 |      1.5707963 |      1.5666667 |   0.0041296601
    4 |      1.5707963 |      1.5707843 |  1.2013069e-05
    8 |      1.5707963 |      1.5707963 |  7.5565543e-08
   16 |      1.5707963 |      1.5707963 |  1.1824852e-09
   32 |      1.5707963 |      1.5707963 |   1.847833e-11
   64 |      1.5707963 |      1.5707963 |  2.8865799e-13
  128 |      1.5707963 |      1.5707963 |  4.2188475e-15
  256 |      1.5707963 |      1.5707963 |              0
  512 |      1.5707963 |      1.5707963 |              0

### Methode : Gauss-Legendre_2pts


#### test pour le monome de degré 0

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |              2 |              2 |              0
    2 |              2 |              2 |              0
    4 |              2 |              2 |              0
    8 |              2 |              2 |              0
   16 |              2 |              2 |              0
   32 |              2 |              2 |              0
   64 |              2 |              2 |              0
  128 |              2 |              2 |              0
  256 |              2 |              2 |              0
  512 |              2 |              2 |              0


#### test pour le monome de degré 1

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |              0 |             -2 |              2
    2 |              0 |             -1 |              1
    4 |              0 |           -0.5 |            0.5
    8 |              0 |          -0.25 |           0.25
   16 |              0 |         -0.125 |          0.125
   32 |              0 |        -0.0625 |         0.0625
   64 |              0 |       -0.03125 |        0.03125
  128 |              0 |      -0.015625 |       0.015625
  256 |              0 |     -0.0078125 |      0.0078125
  512 |              0 |    -0.00390625 |     0.00390625


#### test pour le monome de degré 2

N[i]  |       I        |      Q[i]      |      E[i]     
----- | -------------- | -------------- | --------------
    1 |     0.66666667 |      2.6666667 |              2
    2 |     0.66666667 |      1.1666667 |            0.5
    4 |     0.66666667 |     0.79166667 |          0.125
    8 |     0.66666667 |     0.69791667 |        0.03125
   16 |     0.66666667 |     0.67447917 |      0.0078125
   32 |     0.66666667 |     0.66861979 |    0.001953125
   64 |     0.66666667 |     0.66715495 |  0.00048828125
  128 |     0.66666667 |     0.66678874 |  0.00012207031
  256 |     0.66666667 |     0.66669718 |  3.0517578e-05
  512 |     0.66666667 |      0.6666743 |  7.6293945e-06


#### test pour f(x) = absWith(x)

